                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.78538,                0.56882,                0.95014,                0.14591,                0.53571,                0.12567,                0.06436,                 1.6191,                 6.5896,                 1.4812,              0.0013335,              0.0013335,              0.0013335
                     36,                0.80602,                0.52811,                0.95269,                0.01464,                0.30952,                0.00998,                0.00292,                 3.3974,                 66.343,                 5.2071,              0.0013708,              0.0013708,              0.0013708
                     37,                0.74936,                0.63673,                0.92646,                0.01464,                0.30952,                0.00998,                0.00292,                 3.3974,                 66.343,                 5.2071,               0.001408,               0.001408,               0.001408
                     38,                0.76646,                0.58667,                0.92067,                0.00615,                0.16667,                0.00355,                0.00116,                   3.43,                 186.01,                 6.9487,              0.0014451,              0.0014451,              0.0014451
                     39,                0.72091,                0.52004,                0.92393,                0.02156,                0.36905,                0.01433,                0.00637,                 2.4973,                 55.949,                 4.2332,              0.0014821,              0.0014821,              0.0014821
                     40,                0.94566,                0.64508,                 1.0528,                0.02156,                0.36905,                0.01433,                0.00637,                 2.4973,                 55.949,                 4.2332,               0.001519,               0.001519,               0.001519
                     41,                0.91116,                0.60447,                0.99003,                0.09502,                0.36905,                0.06543,                0.04148,                 1.4333,                 6.9998,                  1.827,              0.0015558,              0.0015558,              0.0015558
                     42,                0.87521,                0.58468,                0.97857,                0.90466,                0.67778,                0.75946,                0.51671,                 1.2186,                 1.8207,                 1.1969,              0.0015926,              0.0015926,              0.0015926
                     43,                0.83858,                0.50982,                0.94495,                0.90466,                0.67778,                0.75946,                0.51671,                 1.2186,                 1.8207,                 1.1969,              0.0016293,              0.0016293,              0.0016293
                     44,                0.83083,                0.52456,                0.94747,                0.92996,                0.79035,                0.90688,                0.68343,                0.94099,                 1.3605,                 1.0531,              0.0016659,              0.0016659,              0.0016659
                     45,                0.80408,                0.64822,                 0.9599,                0.92996,                0.79035,                0.90688,                0.68343,                0.94099,                 1.3605,                 1.0531,              0.0017025,              0.0017025,              0.0017025
                     46,                0.75932,                0.57353,                0.93059,                0.88464,                0.73036,                0.84341,                0.63899,                0.87252,                  1.234,                 1.0481,              0.0017389,              0.0017389,              0.0017389
                     47,                0.83573,                0.55704,                 1.0116,                0.88464,                0.73036,                0.84341,                0.63899,                0.87252,                  1.234,                 1.0481,              0.0017753,              0.0017753,              0.0017753
                     48,                0.81458,                0.54388,                0.98034,                0.80771,                   0.75,                0.79547,                0.58373,                 1.0293,                 1.2605,                 1.0926,              0.0018116,              0.0018116,              0.0018116
                     49,                0.81962,                0.60619,                0.96196,                0.80771,                   0.75,                0.79547,                0.58373,                 1.0293,                 1.2605,                 1.0926,              0.0018478,              0.0018478,              0.0018478
                     50,                   0.84,                 0.5954,                0.99718,                0.78955,                0.82143,                0.88395,                0.68201,                0.94467,                0.97019,                 1.0379,               0.001884,               0.001884,               0.001884
                     51,                0.75877,                0.55707,                0.92383,                0.78955,                0.82143,                0.88395,                0.68201,                0.94467,                0.97019,                 1.0379,               0.001901,               0.001901,               0.001901
                     52,                0.76388,                0.58031,                0.96338,                0.77903,                0.79762,                0.85819,                0.65561,                0.92383,                 1.6704,                 1.0204,               0.001901,               0.001901,               0.001901
                     53,                0.72747,                0.62537,                0.93672,                0.77903,                0.79762,                0.85819,                0.65561,                0.92383,                 1.6704,                 1.0204,               0.001899,               0.001899,               0.001899
                     54,                0.76497,                0.61639,                0.93823,                0.76946,                0.83333,                0.83687,                0.62189,                0.95557,                 1.5402,                 1.0342,               0.001897,               0.001897,               0.001897
                     55,                0.70646,                0.48034,                0.93227,                0.76946,                0.83333,                0.83687,                0.62189,                0.95557,                 1.5402,                 1.0342,              0.0018951,              0.0018951,              0.0018951
                     56,                0.67161,                0.46814,                0.89877,                0.64778,                0.71429,                0.70053,                 0.4272,                 1.4923,                 1.5967,                 1.3915,              0.0018931,              0.0018931,              0.0018931
                     57,                0.83417,                 0.5339,                0.96682,                0.64778,                0.71429,                0.70053,                 0.4272,                 1.4923,                 1.5967,                 1.3915,              0.0018911,              0.0018911,              0.0018911
                     58,                0.88361,                0.54806,                0.97219,                0.79877,                0.70238,                0.82143,                0.58368,                 1.0608,                  1.168,                 1.1166,              0.0018891,              0.0018891,              0.0018891
                     59,                0.73244,                0.51234,                 0.9416,                0.79877,                0.70238,                0.82143,                0.58368,                 1.0608,                  1.168,                 1.1166,              0.0018871,              0.0018871,              0.0018871
                     60,                0.72186,                0.51638,                0.94158,                0.82986,                0.79762,                0.89042,                0.69407,                0.81504,                 1.0041,                0.99546,              0.0018852,              0.0018852,              0.0018852
                     61,                0.82939,                0.54468,                0.96669,                0.82986,                0.79762,                0.89042,                0.69407,                0.81504,                 1.0041,                0.99546,              0.0018832,              0.0018832,              0.0018832
                     62,                0.85425,                 0.5016,                0.97527,                0.89755,                0.83437,                0.90181,                0.67193,                0.94335,                  1.057,                 1.0555,              0.0018812,              0.0018812,              0.0018812
                     63,                0.75437,                0.51862,                0.94594,                0.89755,                0.83437,                0.90181,                0.67193,                0.94335,                  1.057,                 1.0555,              0.0018792,              0.0018792,              0.0018792
                     64,                0.74887,                0.50046,                0.92428,                0.86876,                0.85714,                 0.9032,                0.57825,                 1.1909,                0.92157,                 1.2288,              0.0018772,              0.0018772,              0.0018772
                     65,                0.87004,                0.57206,                0.99765,                0.86876,                0.85714,                 0.9032,                0.57825,                 1.1909,                0.92157,                 1.2288,              0.0018753,              0.0018753,              0.0018753
                     66,                0.83301,                0.55062,                 0.9783,                0.82231,                0.82641,                0.86211,                 0.5532,                 1.2064,                 1.0078,                 1.2471,              0.0018733,              0.0018733,              0.0018733
                     67,                0.89098,                0.56381,                0.98174,                0.82231,                0.82641,                0.86211,                 0.5532,                 1.2064,                 1.0078,                 1.2471,              0.0018713,              0.0018713,              0.0018713
                     68,                0.85722,                0.53762,                0.97185,                0.85282,                0.82783,                0.87592,                0.64327,                0.97173,                0.88688,                 1.0923,              0.0018693,              0.0018693,              0.0018693
                     69,                0.71857,                0.50093,                0.92144,                0.85282,                0.82783,                0.87592,                0.64327,                0.97173,                0.88688,                 1.0923,              0.0018673,              0.0018673,              0.0018673
