                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   1.64,                 4.3657,                 1.3773,                0.08517,                0.32143,                0.19658,                 0.1147,                  1.609,                 4.4241,                 1.3868,               1.25e-05,               1.25e-05,               1.25e-05
                      2,                 1.6284,                  4.441,                 1.4138,                0.09428,                0.33333,                0.20814,                0.12118,                 1.5718,                 4.3684,                 1.3549,             3.7463e-05,             3.7463e-05,             3.7463e-05
                      3,                 1.6587,                 4.3559,                 1.4008,                0.10584,                0.34524,                0.22725,                0.13929,                 1.5673,                 4.2814,                 1.3422,             6.2376e-05,             6.2376e-05,             6.2376e-05
                      4,                 1.4383,                 3.1067,                  1.319,                0.92567,                0.59304,                0.80686,                0.62154,                0.90515,                 1.3531,                0.95922,              8.724e-05,              8.724e-05,              8.724e-05
                      5,                0.96007,                0.93205,                 1.0284,                0.79295,                0.86629,                0.89143,                 0.6215,                 1.0631,                 1.4797,                 1.0119,             0.00011205,             0.00011205,             0.00011205
                      6,                0.89403,                0.81923,                0.97642,                0.74506,                0.93939,                0.91027,                0.73907,                0.73783,                  1.623,                0.91016,             0.00013682,             0.00013682,             0.00013682
                      7,                0.87448,                0.68652,                0.95987,                0.79461,                0.94048,                0.93556,                0.74957,                0.77351,                 2.4635,                0.92204,             0.00016153,             0.00016153,             0.00016153
                      8,                0.79002,                0.60113,                 0.9392,                0.84418,                0.90295,                 0.9577,                0.67694,                   1.09,                 5.1325,                 1.0286,              0.0001862,              0.0001862,              0.0001862
                      9,                0.78689,                0.54548,                0.91587,                 0.8367,                0.96429,                0.96565,                 0.6772,                 1.0694,                 3.1496,                 1.0296,             0.00021082,             0.00021082,             0.00021082
                     10,                0.80754,                0.57033,                0.92918,                0.84419,                0.97619,                0.97279,                0.71998,                0.92859,                 2.3231,                0.98449,             0.00023538,             0.00023538,             0.00023538
