                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.75776,                0.53144,                 0.9572,                0.83531,                0.79762,                0.84632,                0.64987,                0.91877,                0.99913,                 0.9888,             0.00068357,             0.00068357,             0.00068357
                     26,                0.76157,                0.50241,                0.92289,                0.81694,                 0.9032,                0.87694,                0.68487,                 0.9024,                 1.8792,                 1.0067,             0.00071075,             0.00071075,             0.00071075
                     27,                0.79125,                0.48896,                0.94249,                0.89665,                0.86905,                0.89932,                0.67865,                0.87224,                 2.5543,                 0.9816,             0.00073788,             0.00073788,             0.00073788
                     28,                0.73359,                0.49556,                0.93817,                0.89665,                0.86905,                0.89932,                0.67865,                0.87224,                 2.5543,                 0.9816,             0.00076494,             0.00076494,             0.00076494
                     29,                0.72019,                0.48596,                0.92134,                0.86977,                0.82143,                 0.8662,                0.66848,                0.85904,                 1.2588,                 1.0067,             0.00079195,             0.00079195,             0.00079195
                     30,                0.78902,                0.46655,                0.92881,                0.12252,                0.71429,                0.31804,                0.24546,                0.94036,                 3.6126,                 1.0229,              0.0008189,              0.0008189,              0.0008189
                     31,                0.74256,                0.52607,                0.93541,                0.12252,                0.71429,                0.31804,                0.24546,                0.94036,                 3.6126,                 1.0229,              0.0008458,              0.0008458,              0.0008458
                     32,                0.71642,                0.50644,                0.93239,                0.09551,                0.85714,                0.09268,                  0.067,                0.95085,                 6.1176,                 1.0466,             0.00087264,             0.00087264,             0.00087264
                     33,                 0.7234,                 0.5147,                0.90528,                0.90897,                0.65476,                0.79149,                0.55896,                 1.0882,                 1.4184,                 1.1145,             0.00089942,             0.00089942,             0.00089942
                     34,                0.70902,                0.50637,                0.92496,                0.90897,                0.65476,                0.79149,                0.55896,                 1.0882,                 1.4184,                 1.1145,             0.00092615,             0.00092615,             0.00092615
                     35,                0.70085,                0.51741,                0.92611,                0.93571,                0.59524,                0.69352,                0.50179,                  1.112,                 1.6551,                 1.1095,             0.00095282,             0.00095282,             0.00095282
                     36,                 0.7234,                0.47291,                0.91905,                0.86343,                0.52381,                0.61787,                0.44725,                 1.1942,                 1.7934,                 1.1509,             0.00097943,             0.00097943,             0.00097943
                     37,                0.69403,                 0.5157,                0.91041,                0.86343,                0.52381,                0.61787,                0.44725,                 1.1942,                 1.7934,                 1.1509,               0.001006,               0.001006,               0.001006
                     38,                0.67592,                0.48751,                0.89823,                0.82252,                0.77244,                0.79235,                0.62013,                0.93596,                 1.1253,                0.99427,              0.0010325,              0.0010325,              0.0010325
                     39,                0.68186,                 0.4787,                0.91801,                0.92274,                0.77381,                0.85056,                0.64907,                0.98958,                0.99329,                 1.0225,              0.0010589,              0.0010589,              0.0010589
                     40,                0.75224,                0.49465,                0.96939,                0.92274,                0.77381,                0.85056,                0.64907,                0.98958,                0.99329,                 1.0225,              0.0010853,              0.0010853,              0.0010853
                     41,                0.73738,                0.53693,                0.91932,                0.90092,                0.75775,                0.81065,                0.65505,                0.90677,                 1.0488,                0.98733,              0.0011117,              0.0011117,              0.0011117
                     42,                0.78272,                 0.5739,                0.93317,                0.58355,                0.61905,                0.50976,                0.39735,                 0.9937,                  1.664,                 1.0308,              0.0011379,              0.0011379,              0.0011379
                     43,                0.68902,                0.46273,                0.90215,                0.58355,                0.61905,                0.50976,                0.39735,                 0.9937,                  1.664,                 1.0308,              0.0011641,              0.0011641,              0.0011641
                     44,                0.68064,                0.47689,                0.90164,                0.47473,                0.70238,                0.43987,                 0.3301,                0.95244,                 1.6271,                 1.0274,              0.0011903,              0.0011903,              0.0011903
                     45,                0.75338,                0.59609,                0.93982,                0.47473,                0.70238,                0.43987,                 0.3301,                0.95244,                 1.6271,                 1.0274,              0.0012164,              0.0012164,              0.0012164
                     46,                0.69737,                0.51613,                0.91187,                0.66525,                0.72619,                0.65372,                0.50259,                0.88535,                 1.1129,                 1.0139,              0.0012425,              0.0012425,              0.0012425
                     47,                0.75943,                0.53961,                 0.9647,                0.66525,                0.72619,                0.65372,                0.50259,                0.88535,                 1.1129,                 1.0139,              0.0012684,              0.0012684,              0.0012684
                     48,                0.71417,                0.52627,                0.93283,                0.89334,                 0.7619,                 0.8306,                0.58698,                  1.119,                 1.0473,                 1.0994,              0.0012944,              0.0012944,              0.0012944
                     49,                0.81102,                 0.6615,                0.93769,                0.89334,                 0.7619,                 0.8306,                0.58698,                  1.119,                 1.0473,                 1.0994,              0.0013203,              0.0013203,              0.0013203
                     50,                0.84614,                  0.644,                0.96829,                0.88948,                0.59524,                0.67776,                0.50639,                 1.0645,                 1.3683,                 1.0797,              0.0013461,              0.0013461,              0.0013461
                     51,                0.72465,                0.50982,                0.91024,                0.88948,                0.59524,                0.67776,                0.50639,                 1.0645,                 1.3683,                 1.0797,              0.0013583,              0.0013583,              0.0013583
                     52,                0.69639,                0.52237,                0.93588,                0.28186,                0.47194,                0.17977,                0.13137,                 1.1671,                 19.166,                 1.1626,              0.0013583,              0.0013583,              0.0013583
                     53,                0.81698,                0.61857,                 0.9778,                0.28186,                0.47194,                0.17977,                0.13137,                 1.1671,                 19.166,                 1.1626,              0.0013568,              0.0013568,              0.0013568
                     54,                0.85396,                0.59899,                0.98329,                0.91453,                0.29762,                0.36466,                0.27943,                 1.2922,                 2.2382,                 1.2165,              0.0013554,              0.0013554,              0.0013554
                     55,                0.71788,                0.52884,                0.93344,                0.91453,                0.29762,                0.36466,                0.27943,                 1.2922,                 2.2382,                 1.2165,               0.001354,               0.001354,               0.001354
                     56,                0.74215,                0.53874,                0.92647,                0.63342,                0.34524,                0.35278,                0.22371,                 1.8199,                 2.0694,                 1.5433,              0.0013526,              0.0013526,              0.0013526
