                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6403,                 4.3355,                 1.3845,                0.01035,                0.09524,                0.00579,                0.00365,                 1.5858,                 4.8617,                 1.3954,              1.429e-05,              1.429e-05,              1.429e-05
                      2,                  1.635,                 4.4022,                 1.4137,                0.01027,                0.09524,                0.00579,                0.00348,                 1.5465,                 4.8487,                 1.3659,             4.2828e-05,             4.2828e-05,             4.2828e-05
                      3,                 1.6443,                 4.3669,                 1.3967,                 0.0116,                0.10714,                0.00663,                0.00284,                 1.5311,                 4.8193,                  1.352,             7.1309e-05,             7.1309e-05,             7.1309e-05
                      4,                 1.4393,                 3.0087,                 1.3198,                0.81784,                0.65476,                0.79825,                0.61271,                0.89435,                 1.7748,                0.97207,             9.9733e-05,             9.9733e-05,             9.9733e-05
                      5,                0.96894,                0.94219,                 1.0429,                0.78725,                0.92857,                0.92125,                0.67869,                  1.024,                 1.6918,                0.99414,              0.0001281,              0.0001281,              0.0001281
                      6,                 0.8827,                0.74404,                0.97379,                0.79679,                0.88095,                0.91614,                0.75705,                0.71432,                  2.466,                0.90866,             0.00015641,             0.00015641,             0.00015641
                      7,                0.90339,                0.64358,                0.96963,                0.71883,                0.91308,                0.89358,                0.72023,                0.77136,                 2.0321,                0.91629,             0.00018467,             0.00018467,             0.00018467
                      8,                0.81144,                0.65325,                0.94712,                0.82329,                0.94294,                0.92224,                0.64256,                 1.1165,                 2.5699,                 1.0491,             0.00021286,             0.00021286,             0.00021286
                      9,                0.80103,                0.57975,                0.93467,                0.77454,                0.92857,                0.90696,                0.64509,                 1.0851,                 2.1856,                 1.0564,             0.00024101,             0.00024101,             0.00024101
                     10,                0.82733,                0.59246,                0.94663,                0.82925,                0.92507,                0.93085,                0.71533,                0.87957,                 1.1697,                0.97654,             0.00026909,             0.00026909,             0.00026909
                     11,                0.78932,                0.57464,                0.93371,                0.87232,                0.86905,                 0.9378,                0.74616,                0.83936,                 1.1288,                 0.9696,             0.00029712,             0.00029712,             0.00029712
                     12,                0.83194,                 0.5539,                0.96927,                0.87773,                0.82143,                0.89127,                0.69516,                0.91135,                 1.6535,                 1.0365,             0.00032509,             0.00032509,             0.00032509
                     13,                0.73755,                0.53859,                0.95019,                0.88909,                 0.7619,                0.85431,                0.67629,                0.82664,                  2.231,                0.97243,             0.00035301,             0.00035301,             0.00035301
                     14,                0.77334,                0.53447,                0.95899,                0.87837,                0.68783,                0.77882,                0.57912,                0.97872,                 2.6267,                 1.0339,             0.00038086,             0.00038086,             0.00038086
                     15,                0.72855,                0.50044,                0.92149,                0.81232,                0.77289,                0.80515,                0.57907,                 1.0889,                 1.9457,                 1.0841,             0.00040867,             0.00040867,             0.00040867
                     16,                0.73108,                0.49858,                 0.9413,                0.74281,                0.85714,                0.83445,                0.61165,                 1.0128,                 1.5377,                 1.0633,             0.00043641,             0.00043641,             0.00043641
                     17,                0.73087,                0.50296,                0.93319,                 0.8003,                0.78571,                0.85546,                0.65213,                0.86375,                 1.5553,                0.97889,              0.0004641,              0.0004641,              0.0004641
                     18,                0.75797,                0.50357,                0.94071,                0.78847,                0.79878,                0.85165,                 0.6871,                0.77846,                 1.1999,                0.93782,             0.00049173,             0.00049173,             0.00049173
                     19,                0.78151,                0.51645,                0.94699,                0.90968,                0.71946,                0.84579,                 0.6614,                0.86454,                 1.1396,                0.94701,             0.00051931,             0.00051931,             0.00051931
                     20,                0.70651,                0.45723,                0.91087,                0.89314,                0.77381,                0.85485,                0.62937,                0.98503,                  1.112,                0.98729,             0.00054683,             0.00054683,             0.00054683
                     21,                0.75223,                0.49928,                0.93577,                 0.8525,                0.75687,                0.84091,                0.60228,                 1.0335,                 1.1822,                 1.0255,             0.00057429,             0.00057429,             0.00057429
                     22,                0.77086,                0.47892,                0.90858,                0.82465,                0.79762,                0.82452,                0.59399,                 1.0654,                 1.1551,                 1.0474,              0.0006017,              0.0006017,              0.0006017
                     23,                0.73958,                0.48952,                0.92064,                0.83852,                 0.7619,                0.82381,                0.61691,                0.98427,                   1.09,                 1.0246,             0.00062904,             0.00062904,             0.00062904
                     24,                0.78123,                0.49968,                0.94152,                 0.8337,                0.83555,                0.85525,                0.63832,                0.94234,                 1.0097,                 1.0077,             0.00065634,             0.00065634,             0.00065634
